card_id,account_id,customer_id,card_type,network,issue_date,expiry_date,card_status
CARD000001,ACC000992,CUS000360,Debit,RuPay,2024-01-08,2028-01-08,Active
CARD000002,ACC004109,CUS004449,Debit,Visa,2024-09-05,2028-09-05,Active
CARD000003,ACC001455,CUS005049,Debit,Visa,2022-04-04,2026-04-04,Active
CARD000004,ACC002354,CUS007466,Debit,Visa,2025-08-11,2029-08-11,Active
CARD000005,ACC003655,CUS007525,Debit,Mastercard,2021-12-31,2025-12-31,Active
CARD000006,ACC005684,CUS002148,Debit,Mastercard,2024-03-18,2028-03-18,Blocked
CARD000007,ACC013821,CUS008659,Debit,Visa,2025-06-13,2029-06-13,Active
CARD000008,ACC007845,CUS006134,Credit,Mastercard,2026-02-07,2030-02-07,Active
CARD000009,ACC008310,CUS005890,Credit,Visa,2026-02-06,2030-02-06,Active
CARD000010,ACC002391,CUS008022,Debit,Mastercard,2026-02-06,2030-02-06,Blocked
CARD000011,ACC014983,CUS006603,Debit,Mastercard,2024-07-12,2028-07-12,Active
CARD000012,ACC014564,CUS002241,Credit,Mastercard,2023-10-10,2027-10-10,Active
CARD000013,ACC004316,CUS003534,Credit,Visa,2023-09-27,2027-09-27,Active
CARD000014,ACC013816,CUS008124,Debit,Visa,2022-04-22,2026-04-22,Active
CARD000015,ACC007876,CUS007016,Debit,Mastercard,2024-11-11,2028-11-11,Active
CARD000016,ACC010200,CUS000951,Credit,Mastercard,2021-09-05,2025-09-05,Active
CARD000017,ACC014077,CUS001992,Debit,Visa,2021-12-09,2025-12-09,Blocked
CARD000018,ACC005689,CUS001024,Debit,RuPay,2024-07-06,2028-07-06,Active
CARD000019,ACC013888,CUS001853,Debit,Visa,2022-02-15,2026-02-15,Active
CARD000020,ACC008790,CUS001982,Debit,Visa,2025-02-03,2029-02-03,Active
CARD000021,ACC006226,CUS000523,Debit,Visa,2024-12-25,2028-12-25,Active
CARD000022,ACC004539,CUS002920,Debit,Mastercard,2022-12-15,2026-12-15,Active
CARD000023,ACC014956,CUS007746,Credit,Visa,2025-06-09,2029-06-09,Active
CARD000024,ACC010618,CUS005352,Debit,Visa,2022-02-20,2026-02-20,Active
CARD000025,ACC011704,CUS001263,Debit,RuPay,2022-12-26,2026-12-26,Active
CARD000026,ACC001914,CUS002755,Debit,Visa,2022-08-12,2026-08-12,Active
CARD000027,ACC000649,CUS006854,Debit,RuPay,2023-07-19,2027-07-19,Active
CARD000028,ACC009449,CUS001382,Debit,Mastercard,2022-04-23,2026-04-23,Active
CARD000029,ACC001864,CUS000213,Debit,RuPay,2024-11-15,2028-11-15,Active
CARD000030,ACC004861,CUS005859,Debit,RuPay,2025-01-31,2029-01-31,Active
CARD000031,ACC008194,CUS000884,Debit,Visa,2024-11-01,2028-11-01,Active
CARD000032,ACC003805,CUS000990,Credit,RuPay,2022-11-07,2026-11-07,Active
CARD000033,ACC013781,CUS009574,Credit,Mastercard,2024-05-01,2028-05-01,Active
CARD000034,ACC014482,CUS007038,Credit,Visa,2022-01-30,2026-01-30,Active
CARD000035,ACC009553,CUS005521,Debit,Mastercard,2026-05-31,2030-05-31,Expired
CARD000036,ACC014548,CUS002386,Debit,Visa,2025-08-24,2029-08-24,Active
CARD000037,ACC003543,CUS004515,Debit,RuPay,2026-01-30,2030-01-30,Active
CARD000038,ACC001422,CUS005691,Debit,Visa,2024-08-03,2028-08-03,Active
CARD000039,ACC009231,CUS006972,Debit,Mastercard,2022-08-04,2026-08-04,Active
CARD000040,ACC014065,CUS007533,Debit,RuPay,2022-01-17,2026-01-17,Active
CARD000041,ACC009091,CUS002715,Debit,Mastercard,2024-11-07,2028-11-07,Expired
CARD000042,ACC000917,CUS009188,Debit,Mastercard,2022-12-11,2026-12-11,Active
CARD000043,ACC014186,CUS003589,Debit,RuPay,2023-07-22,2027-07-22,Active
CARD000044,ACC006716,CUS002532,Debit,Visa,2025-08-23,2029-08-23,Active
CARD000045,ACC008109,CUS009696,Credit,Visa,2024-09-20,2028-09-20,Active
CARD000046,ACC005369,CUS001158,Credit,Visa,2022-11-14,2026-11-14,Expired
CARD000047,ACC003065,CUS009761,Debit,Visa,2024-06-04,2028-06-04,Active
CARD000048,ACC003738,CUS007781,Debit,Visa,2024-05-25,2028-05-25,Active
CARD000049,ACC000759,CUS009861,Credit,Mastercard,2025-04-27,2029-04-27,Active
CARD000050,ACC010999,CUS007630,Credit,Mastercard,2026-01-15,2030-01-15,Active
CARD000051,ACC000458,CUS003114,Debit,Visa,2023-08-04,2027-08-04,Active
CARD000052,ACC008144,CUS009148,Debit,RuPay,2024-08-20,2028-08-20,Active
CARD000053,ACC000236,CUS001029,Debit,Mastercard,2022-08-23,2026-08-23,Active
CARD000054,ACC000302,CUS004203,Debit,Visa,2022-08-04,2026-08-04,Active
CARD000055,ACC000451,CUS000952,Credit,Visa,2023-11-18,2027-11-18,Active
CARD000056,ACC001680,CUS007946,Debit,Mastercard,2024-04-04,2028-04-04,Active
CARD000057,ACC000983,CUS003406,Credit,Mastercard,2021-09-11,2025-09-11,Active
CARD000058,ACC006683,CUS008782,Debit,Visa,2022-05-28,2026-05-28,Active
