credit_profile_id,customer_id,credit_score,credit_utilization,total_credit_limit,outstanding_balance,delinquency_count,last_updated
CRP000001,CUS000001,495,76.37,41246.19,31499.72,0,2025-11-03
CRP000002,CUS000002,303,83.2,47347.99,39393.53,0,2026-07-05
CRP000003,CUS000003,478,68.45,18222.12,12473.04,1,2026-07-16
CRP000004,CUS000004,523,66.6,18761.01,12494.83,0,2025-11-23
CRP000005,CUS000005,466,21.97,9609.07,2111.11,0,2026-06-05
CRP000006,CUS000006,351,44.03,19168.83,8440.04,2,2026-04-13
CRP000007,CUS000007,533,16.44,45696.02,7512.43,0,2026-05-31
CRP000008,CUS000008,613,14.77,13910.65,2054.6,0,2025-09-18
CRP000009,CUS000009,619,20.09,18613.83,3739.52,0,2025-09-17
CRP000010,CUS000010,659,24.83,26097.55,6480.02,0,2025-09-07
CRP000011,CUS000011,697,73.1,21466.59,15692.08,1,2026-06-03
CRP000012,CUS000012,466,88.28,62384.09,55072.67,0,2025-08-09
CRP000013,CUS000013,572,7.88,34156.48,2691.53,0,2026-04-29
CRP000014,CUS000014,347,44.71,41656.75,18624.73,0,2026-03-13
CRP000015,CUS000015,724,83.71,44653.02,37379.04,0,2026-01-05
CRP000016,CUS000016,359,38.32,14810.22,5675.28,0,2025-10-20
CRP000017,CUS000017,628,84.53,52462.24,44346.33,0,2026-06-30
CRP000018,CUS000018,610,41.8,62314.07,26047.28,0,2025-08-27
CRP000019,CUS000019,302,62.69,29910.69,18751.01,0,2025-09-26
CRP000020,CUS000020,474,77.59,20832.66,16164.06,0,2026-05-18
CRP000021,CUS000021,785,77.08,24102.06,18577.87,0,2025-08-31
CRP000022,CUS000022,376,47.22,47562.64,22459.08,1,2025-09-30
CRP000023,CUS000023,642,10.75,106465.75,11445.07,0,2026-07-18
CRP000024,CUS000024,509,49.95,6395.76,3194.68,1,2026-06-07
CRP000025,CUS000025,565,39.92,79575.93,31766.71,1,2026-06-30
CRP000026,CUS000026,837,60.34,35814.82,21610.66,0,2025-12-20
CRP000027,CUS000027,578,38.08,96437.96,36723.58,0,2025-09-15
CRP000028,CUS000028,531,94.34,41113.63,38786.6,0,2025-08-31
CRP000029,CUS000029,432,36.17,52544.06,19005.19,1,2025-09-12
CRP000030,CUS000030,658,3.12,34512.11,1076.78,0,2026-02-21
CRP000031,CUS000031,657,77.35,76012.59,58795.74,1,2026-05-03
CRP000032,CUS000032,583,92.24,11574.21,10676.05,1,2025-10-10
CRP000033,CUS000033,503,47.73,57591.01,27488.19,0,2026-06-24
CRP000034,CUS000034,388,24.56,23945.44,5881.0,2,2026-03-09
CRP000035,CUS000035,587,10.61,70066.12,7434.02,0,2025-08-28
CRP000036,CUS000036,776,90.13,40029.22,36078.34,0,2026-07-10
CRP000037,CUS000037,550,29.86,112905.81,33713.67,1,2025-10-04
CRP000038,CUS000038,372,21.69,29530.03,6405.06,0,2025-11-24
CRP000039,CUS000039,613,85.78,38490.91,33017.5,0,2025-12-17
CRP000040,CUS000040,406,47.54,155340.17,73848.72,0,2026-06-07
CRP000041,CUS000041,495,68.66,10089.79,6927.65,0,2026-08-01
CRP000042,CUS000042,708,10.26,53543.39,5493.55,1,2025-09-07
CRP000043,CUS000043,431,25.86,49777.84,12872.55,1,2025-12-24
CRP000044,CUS000044,363,2.52,66555.43,1677.2,1,2026-02-18
CRP000045,CUS000045,423,59.27,41968.31,24874.62,0,2025-12-20
CRP000046,CUS000046,396,84.83,40450.35,34314.03,1,2026-06-01
CRP000047,CUS000047,624,85.18,51993.54,44288.1,0,2025-08-21
CRP000048,CUS000048,879,84.21,37102.09,31243.67,0,2025-12-10
CRP000049,CUS000049,392,36.32,131007.46,47581.91,0,2026-05-29
CRP000050,CUS000050,574,35.11,94049.25,33020.69,0,2026-04-21
CRP000051,CUS000051,891,94.59,64892.68,61381.99,1,2025-09-30
CRP000052,CUS000052,676,69.67,128473.09,89507.2,1,2026-06-28
CRP000053,CUS000053,595,12.74,33948.57,4325.05,0,2026-06-19
CRP000054,CUS000054,877,11.16,46665.26,5207.84,0,2025-12-20
CRP000055,CUS000055,716,66.39,57013.95,37851.56,1,2026-06-15
CRP000056,CUS000056,382,89.49,67680.59,60567.36,0,2026-06-05
CRP000057,CUS000057,533,78.58,24488.37,19242.96,1,2026-02-04
CRP000058,CUS000058,829,56.13,24479.94,13740.59,1,2026-01-04
CRP000059,CUS000059,378,14.67,25648.39,3762.62,0,2026-07-15
CRP000060,CUS000060,610,9.58,14745.28,1412.6,0,2025-09-20
CRP000061,CUS000061,819,85.69,80963.98,69378.03,1,2026-03-24
CRP000062,CUS000062,867,82.5,55293.18,45616.87,0,2025-09-15
CRP000063,CUS000063,502,17.33,37807.39,6552.02,1,2025-08-15
CRP000064,CUS000064,486,81.66,33523.84,27375.57,0,2026-06-17
CRP000065,CUS000065,417,66.54,114913.02,76463.12,0,2026-01-21
CRP000066,CUS000066,457,87.01,24700.63,21492.02,1,2025-10-08
CRP000067,CUS000067,591,64.33,11459.65,7371.99,0,2026-01-29
CRP000068,CUS000068,448,82.11,84975.92,69773.73,0,2026-05-23
CRP000069,CUS000069,770,77.92,36447.38,28399.8,0,2025-10-02
CRP000070,CUS000070,698,21.3,61678.61,13137.54,0,2026-03-04
CRP000071,CUS000071,499,14.55,181849.47,26459.1,0,2025-12-30
CRP000072,CUS000072,321,43.11,10165.02,4382.14,0,2026-04-09
