device_id,device_type,operating_system,browser,device_status
DEV000001,Mobile,Android,Chrome,Active
DEV000002,Mobile,Android,Chrome,Active
DEV000003,Laptop,Android,Chrome,Active
DEV000004,Mobile,Android,Firefox,Active
DEV000005,Mobile,iOS,Chrome,Active
DEV000006,Mobile,Android,Firefox,Active
DEV000007,Laptop,Windows,Safari,Active
DEV000008,Tablet,iOS,Chrome,Active
DEV000009,Mobile,macOS,Chrome,Inactive
DEV000010,Mobile,iOS,Chrome,Active
DEV000011,Laptop,iOS,Safari,Active
DEV000012,Mobile,Windows,Chrome,Active
DEV000013,Laptop,iOS,Chrome,Active
DEV000014,Laptop,Windows,Chrome,Active
DEV000015,Mobile,macOS,Firefox,Active
DEV000016,Laptop,Android,Chrome,Active
DEV000017,Mobile,Android,Safari,Active
DEV000018,Mobile,Android,Chrome,Active
DEV000019,Laptop,Android,Chrome,Active
DEV000020,Mobile,Windows,Safari,Inactive
DEV000021,Mobile,Android,Firefox,Active
DEV000022,Mobile,iOS,Edge,Active
DEV000023,Tablet,Android,Chrome,Active
DEV000024,Mobile,Android,Edge,Active
DEV000025,Laptop,Android,Chrome,Active
DEV000026,Mobile,Android,Edge,Active
DEV000027,Mobile,Android,Edge,Active
DEV000028,Mobile,iOS,Safari,Active
DEV000029,Mobile,Android,Chrome,Active
DEV000030,Mobile,Windows,Chrome,Active
DEV000031,Tablet,Android,Chrome,Active
DEV000032,Mobile,Windows,Chrome,Active
DEV000033,Mobile,Android,Edge,Active
DEV000034,Mobile,Windows,Safari,Active
DEV000035,Laptop,iOS,Chrome,Active
DEV000036,Mobile,iOS,Chrome,Active
DEV000037,Mobile,Android,Chrome,Active
DEV000038,Mobile,Android,Edge,Active
DEV000039,Mobile,Android,Safari,Active
DEV000040,Mobile,Android,Chrome,Active
DEV000041,Mobile,Android,Chrome,Active
DEV000042,Mobile,macOS,Chrome,Active
DEV000043,Mobile,macOS,Edge,Active
DEV000044,Mobile,Android,Chrome,Active
DEV000045,Mobile,macOS,Chrome,Active
DEV000046,Mobile,Android,Chrome,Active
DEV000047,Tablet,Android,Safari,Active
DEV000048,Mobile,Android,Chrome,Inactive
DEV000049,Mobile,iOS,Chrome,Active
DEV000050,Mobile,Windows,Edge,Inactive
DEV000051,Laptop,macOS,Chrome,Active
DEV000052,Tablet,Android,Chrome,Active
DEV000053,Mobile,macOS,Safari,Inactive
DEV000054,Mobile,Android,Safari,Active
DEV000055,Laptop,Android,Chrome,Active
DEV000056,Mobile,Windows,Chrome,Active
DEV000057,Laptop,Android,Chrome,Active
DEV000058,Mobile,Android,Chrome,Active
DEV000059,Mobile,Android,Chrome,Active
DEV000060,Laptop,Android,Chrome,Active
DEV000061,Laptop,Android,Chrome,Active
DEV000062,Laptop,Android,Chrome,Active
DEV000063,Mobile,Android,Edge,Active
DEV000064,Mobile,Android,Firefox,Active
DEV000065,Mobile,iOS,Chrome,Active
DEV000066,Mobile,Windows,Safari,Active
DEV000067,Mobile,iOS,Chrome,Active
DEV000068,Mobile,iOS,Chrome,Active
DEV000069,Mobile,macOS,Chrome,Active
DEV000070,Mobile,iOS,Safari,Active
DEV000071,Mobile,Android,Edge,Active
DEV000072,Mobile,Windows,Chrome,Active
DEV000073,Mobile,iOS,Safari,Active
DEV000074,Mobile,Windows,Firefox,Active
DEV000075,Mobile,Android,Edge,Active
DEV000076,Mobile,iOS,Edge,Active
DEV000077,Laptop,iOS,Chrome,Active
DEV000078,Laptop,Android,Edge,Inactive
DEV000079,Mobile,Windows,Chrome,Active
DEV000080,Mobile,iOS,Safari,Active
DEV000081,Mobile,iOS,Chrome,Active
DEV000082,Mobile,Android,Chrome,Active
DEV000083,Mobile,Android,Firefox,Active
DEV000084,Mobile,Windows,Edge,Active
DEV000085,Mobile,Android,Chrome,Active
DEV000086,Laptop,iOS,Edge,Active
DEV000087,Laptop,macOS,Edge,Active
DEV000088,Mobile,iOS,Safari,Active
DEV000089,Mobile,iOS,Chrome,Active
DEV000090,Mobile,Android,Safari,Active
DEV000091,Laptop,iOS,Safari,Active
DEV000092,Mobile,Android,Chrome,Active
DEV000093,Mobile,Android,Chrome,Active
DEV000094,Mobile,iOS,Chrome,Active
DEV000095,Mobile,iOS,Edge,Active
DEV000096,Mobile,Android,Chrome,Active
DEV000097,Mobile,Android,Chrome,Active
DEV000098,Mobile,macOS,Chrome,Active
DEV000099,Mobile,Android,Chrome,Active
DEV000100,Mobile,Android,Chrome,Active
DEV000101,Mobile,Android,Chrome,Inactive
DEV000102,Mobile,Android,Chrome,Active
DEV000103,Mobile,Windows,Chrome,Active
DEV000104,Mobile,Android,Chrome,Active
DEV000105,Mobile,Android,Safari,Active
DEV000106,Laptop,Android,Safari,Active
DEV000107,Mobile,Android,Chrome,Inactive
DEV000108,Mobile,iOS,Chrome,Active
DEV000109,Mobile,Android,Chrome,Active
DEV000110,Laptop,iOS,Chrome,Active
DEV000111,Laptop,Windows,Chrome,Active
DEV000112,Laptop,iOS,Chrome,Active
DEV000113,Mobile,iOS,Safari,Active
DEV000114,Tablet,Android,Chrome,Active
DEV000115,Mobile,iOS,Safari,Active
DEV000116,Mobile,macOS,Chrome,Active
DEV000117,Tablet,iOS,Chrome,Active
DEV000118,Tablet,Android,Chrome,Active
DEV000119,Mobile,Android,Safari,Active
DEV000120,Laptop,Windows,Firefox,Active
DEV000121,Mobile,macOS,Safari,Active
DEV000122,Mobile,Android,Firefox,Active
DEV000123,Mobile,Windows,Chrome,Active
DEV000124,Mobile,Android,Chrome,Active
DEV000125,Mobile,Windows,Chrome,Active
DEV000126,Mobile,Android,Chrome,Active
DEV000127,Laptop,Android,Edge,Active
DEV000128,Mobile,Android,Firefox,Active
DEV000129,Mobile,Android,Chrome,Active
DEV000130,Mobile,Android,Chrome,Active
DEV000131,Mobile,iOS,Chrome,Active
DEV000132,Mobile,Android,Chrome,Active
DEV000133,Mobile,iOS,Chrome,Active
DEV000134,Laptop,Windows,Chrome,Inactive
DEV000135,Mobile,Android,Firefox,Active
DEV000136,Laptop,Android,Firefox,Active
DEV000137,Mobile,Android,Chrome,Active
DEV000138,Tablet,Windows,Safari,Active
DEV000139,Mobile,iOS,Chrome,Active
DEV000140,Mobile,Android,Firefox,Active
DEV000141,Mobile,macOS,Chrome,Active
DEV000142,Mobile,Android,Safari,Active
DEV000143,Mobile,Android,Safari,Active
DEV000144,Mobile,Android,Chrome,Active
DEV000145,Mobile,Android,Chrome,Active
DEV000146,Mobile,Android,Chrome,Active
DEV000147,Mobile,Android,Chrome,Active
DEV000148,Mobile,Windows,Safari,Active
DEV000149,Tablet,macOS,Edge,Active
DEV000150,Mobile,Android,Edge,Active
DEV000151,Mobile,Android,Edge,Active
DEV000152,Laptop,iOS,Edge,Active
DEV000153,Mobile,Android,Edge,Active
DEV000154,Tablet,macOS,Firefox,Active
DEV000155,Mobile,Windows,Edge,Active
DEV000156,Mobile,iOS,Chrome,Active
DEV000157,Mobile,iOS,Chrome,Active
DEV000158,Laptop,Android,Chrome,Active
DEV000159,Tablet,iOS,Chrome,Active
DEV000160,Mobile,iOS,Safari,Active
DEV000161,Mobile,Android,Safari,Active
DEV000162,Mobile,Windows,Safari,Active
DEV000163,Mobile,Windows,Chrome,Active
DEV000164,Mobile,Android,Edge,Active
DEV000165,Mobile,Android,Chrome,Inactive
DEV000166,Mobile,iOS,Chrome,Active
DEV000167,Mobile,iOS,Edge,Active
DEV000168,Mobile,iOS,Safari,Active
DEV000169,Mobile,Android,Chrome,Inactive
DEV000170,Mobile,iOS,Chrome,Active
DEV000171,Mobile,Windows,Safari,Active
DEV000172,Mobile,macOS,Chrome,Active
DEV000173,Laptop,iOS,Chrome,Active
DEV000174,Mobile,iOS,Chrome,Active
DEV000175,Mobile,Windows,Edge,Active
DEV000176,Mobile,Windows,Firefox,Inactive
DEV000177,Mobile,Android,Safari,Active
DEV000178,Mobile,Windows,Edge,Active
DEV000179,Mobile,Android,Chrome,Active
DEV000180,Mobile,Android,Safari,Inactive
DEV000181,Mobile,iOS,Safari,Active
DEV000182,Mobile,Windows,Chrome,Active
DEV000183,Mobile,iOS,Chrome,Active
DEV000184,Tablet,Android,Chrome,Active
DEV000185,Mobile,Windows,Chrome,Active
DEV000186,Laptop,iOS,Chrome,Active
DEV000187,Mobile,macOS,Safari,Active
DEV000188,Mobile,macOS,Firefox,Active
DEV000189,Laptop,Android,Edge,Active
DEV000190,Tablet,Android,Safari,Active
DEV000191,Mobile,iOS,Chrome,Active
DEV000192,Tablet,Android,Chrome,Inactive
DEV000193,Mobile,Android,Chrome,Inactive
DEV000194,Tablet,iOS,Chrome,Active
DEV000195,Mobile,iOS,Edge,Active
DEV000196,Tablet,Android,Chrome,Active
DEV000197,Laptop,Android,Chrome,Active
DEV000198,Mobile,Windows,Chrome,Active
DEV000199,Mobile,macOS,Chrome,Active
DEV000200,Mobile,Android,Safari,Active
DEV000201,Mobile,iOS,Safari,Active
DEV000202,Mobile,Android,Safari,Active
DEV000203,Mobile,iOS,Safari,Active
DEV000204,Mobile,Android,Edge,Active
DEV000205,Laptop,iOS,Chrome,Active
DEV000206,Laptop,Android,Chrome,Active
DEV000207,Mobile,iOS,Chrome,Inactive
DEV000208,Mobile,Android,Safari,Active
DEV000209,Mobile,Android,Firefox,Active
DEV000210,Mobile,iOS,Chrome,Active
DEV000211,Laptop,macOS,Edge,Active
DEV000212,Mobile,iOS,Chrome,Active
DEV000213,Mobile,Android,Chrome,Active
DEV000214,Mobile,Android,Firefox,Active
DEV000215,Laptop,macOS,Safari,Active
DEV000216,Mobile,Android,Chrome,Active
DEV000217,Laptop,macOS,Chrome,Active
DEV000218,Mobile,iOS,Edge,Inactive
DEV000219,Mobile,iOS,Chrome,Active
DEV000220,Mobile,Android,Firefox,Active
DEV000221,Mobile,Android,Safari,Active
DEV000222,Laptop,Android,Safari,Inactive
DEV000223,Mobile,iOS,Chrome,Inactive
DEV000224,Mobile,iOS,Firefox,Active
DEV000225,Tablet,iOS,Chrome,Active
DEV000226,Mobile,Android,Chrome,Active
DEV000227,Mobile,macOS,Chrome,Active
DEV000228,Mobile,Windows,Chrome,Active
DEV000229,Mobile,Android,Safari,Active
DEV000230,Mobile,macOS,Edge,Inactive
DEV000231,Tablet,Android,Safari,Active
DEV000232,Mobile,iOS,Chrome,Active
DEV000233,Tablet,Android,Firefox,Active
DEV000234,Mobile,Android,Safari,Active
DEV000235,Mobile,Android,Safari,Active
DEV000236,Mobile,Android,Safari,Active
DEV000237,Mobile,Android,Safari,Active
DEV000238,Tablet,iOS,Safari,Active
DEV000239,Tablet,Android,Safari,Active
DEV000240,Mobile,Android,Safari,Inactive
DEV000241,Mobile,Android,Safari,Active
DEV000242,Mobile,Android,Firefox,Active
DEV000243,Laptop,macOS,Chrome,Active
DEV000244,Mobile,macOS,Chrome,Active
DEV000245,Mobile,Android,Chrome,Active
DEV000246,Mobile,iOS,Edge,Active
DEV000247,Laptop,Android,Edge,Active
DEV000248,Mobile,iOS,Edge,Active
DEV000249,Mobile,Android,Chrome,Active
DEV000250,Laptop,Android,Firefox,Active
DEV000251,Mobile,Android,Chrome,Active
