loan_id,customer_id,institution_id,loan_type,loan_amount,outstanding_amount,interest_rate,loan_status,start_date,end_date
LOAN000001,CUS008900,INS000003,Auto,470404.39,235813.7,9.51,Active,2023-06-28,2025-06-28
LOAN000002,CUS009596,INS000004,Personal,258921.31,91494.74,13.253,Active,2025-08-06,2029-08-06
LOAN000003,CUS004324,INS000003,Personal,680357.36,269369.04,10.96,Active,2022-10-15,2024-10-15
LOAN000004,CUS003386,INS000003,Personal,143914.6,2411.1,12.796,Active,2026-03-29,2030-03-29
LOAN000005,CUS005047,INS000004,Auto,272688.31,40374.93,11.587,Active,2022-12-30,2023-12-30
LOAN000006,CUS001759,INS000005,Personal,406442.11,98883.37,16.78,Active,2025-05-09,2028-05-09
LOAN000007,CUS001835,INS000001,Home,71317.26,52913.97,13.611,Active,2023-07-23,2025-07-23
LOAN000008,CUS000249,INS000004,Auto,98542.73,44364.12,8.172,Active,2025-04-01,2029-04-01
LOAN000009,CUS004104,INS000001,Personal,542784.79,32797.14,16.667,Closed,2023-02-13,2027-02-13
LOAN000010,CUS002218,INS000002,Education,400814.32,341802.85,11.028,Active,2026-05-01,2029-05-01
LOAN000011,CUS006955,INS000003,Personal,546181.55,81696.97,12.675,Defaulted,2025-04-21,2029-04-21
LOAN000012,CUS007074,INS000003,Home,54402.58,13743.89,7.772,Active,2026-07-20,2027-07-20
LOAN000013,CUS000161,INS000003,Personal,843683.43,797716.4,9.717,Active,2026-05-24,2027-05-24
LOAN000014,CUS007649,INS000004,Home,185406.66,79771.29,8.501,Active,2022-11-09,2027-11-09
LOAN000015,CUS006954,INS000005,Auto,77092.19,35251.17,16.458,Active,2022-11-15,2025-11-15
LOAN000016,CUS005761,INS000005,Personal,165857.71,145862.89,15.568,Active,2022-02-23,2024-02-23
LOAN000017,CUS009320,INS000002,Home,157714.97,1590.43,11.133,Active,2023-03-16,2027-03-16
LOAN000018,CUS007360,INS000003,Personal,111118.8,6801.01,11.131,Closed,2025-05-03,2026-05-03
LOAN000019,CUS000246,INS000003,Personal,367521.33,185636.45,10.281,Active,2023-07-22,2026-07-22
LOAN000020,CUS004874,INS000003,Personal,198626.41,52012.19,7.514,Active,2024-05-08,2026-05-08
LOAN000021,CUS000010,INS000005,Home,309180.64,98954.6,11.005,Active,2021-11-08,2026-11-08
