risk_score_id,customer_id,risk_score,risk_category,model_name,model_version,score_timestamp
RSK000001,CUS000001,37.84,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000002,CUS000002,11.17,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000003,CUS000003,30.06,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000004,CUS000004,33.88,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000005,CUS000005,42.27,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000006,CUS000006,26.04,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000007,CUS000007,30.04,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000008,CUS000008,36.98,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000009,CUS000009,31.21,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000010,CUS000010,30.27,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000011,CUS000011,11.65,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000012,CUS000012,24.43,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000013,CUS000013,38.73,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000014,CUS000014,1.95,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000015,CUS000015,24.02,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000016,CUS000016,18.24,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000017,CUS000017,19.35,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000018,CUS000018,12.18,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000019,CUS000019,25.62,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000020,CUS000020,16.81,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000021,CUS000021,33.17,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000022,CUS000022,42.47,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000023,CUS000023,31.68,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000024,CUS000024,40.6,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000025,CUS000025,24.55,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000026,CUS000026,34.3,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000027,CUS000027,43.4,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000028,CUS000028,33.48,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000029,CUS000029,19.27,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000030,CUS000030,42.26,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000031,CUS000031,39.34,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000032,CUS000032,28.53,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000033,CUS000033,46.53,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000034,CUS000034,15.18,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000035,CUS000035,31.8,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000036,CUS000036,30.12,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000037,CUS000037,51.61,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000038,CUS000038,26.94,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000039,CUS000039,9.8,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000040,CUS000040,42.92,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000041,CUS000041,55.15,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000042,CUS000042,26.1,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000043,CUS000043,22.52,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000044,CUS000044,43.13,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000045,CUS000045,24.98,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000046,CUS000046,9.97,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000047,CUS000047,40.49,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000048,CUS000048,34.38,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000049,CUS000049,27.37,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000050,CUS000050,21.04,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000051,CUS000051,15.7,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000052,CUS000052,22.18,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000053,CUS000053,39.1,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000054,CUS000054,42.57,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000055,CUS000055,10.85,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000056,CUS000056,46.14,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000057,CUS000057,27.09,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000058,CUS000058,19.68,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000059,CUS000059,30.91,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000060,CUS000060,15.91,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000061,CUS000061,21.19,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000062,CUS000062,32.11,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000063,CUS000063,25.45,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000064,CUS000064,37.24,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000065,CUS000065,45.51,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000066,CUS000066,20.9,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000067,CUS000067,21.84,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000068,CUS000068,40.76,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000069,CUS000069,29.56,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000070,CUS000070,27.19,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000071,CUS000071,27.72,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000072,CUS000072,34.09,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000073,CUS000073,19.86,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000074,CUS000074,25.45,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000075,CUS000075,41.6,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000076,CUS000076,26.82,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000077,CUS000077,22.03,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000078,CUS000078,27.23,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000079,CUS000079,41.73,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000080,CUS000080,37.4,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000081,CUS000081,28.32,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000082,CUS000082,29.68,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000083,CUS000083,31.43,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000084,CUS000084,30.07,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000085,CUS000085,41.08,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000086,CUS000086,35.88,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000087,CUS000087,10.64,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000088,CUS000088,43.49,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000089,CUS000089,39.08,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000090,CUS000090,16.57,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000091,CUS000091,27.39,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000092,CUS000092,50.0,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000093,CUS000093,40.57,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000094,CUS000094,35.3,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000095,CUS000095,22.57,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000096,CUS000096,25.54,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000097,CUS000097,18.33,Low,SuFinex Customer Risk Model,1.0,2026-06-30
