ticket_id,customer_id,institution_id,issue_category,priority,status,created_date,resolved_date
TKT000001,CUS005155,INS000002,Fraud Report,Medium,Closed,2025-12-16,2025-12-20
TKT000002,CUS000994,INS000002,Payment Issue,Medium,In Progress,2025-10-19,
TKT000003,CUS005785,INS000001,Transaction Issue,Low,Resolved,2025-07-30,2025-08-02
TKT000004,CUS006600,INS000004,Transaction Issue,High,Resolved,2025-05-19,2025-05-25
TKT000005,CUS006204,INS000003,Transaction Issue,Medium,Resolved,2024-11-13,2024-11-16
TKT000006,CUS002497,INS000003,Loan Query,High,Closed,2025-08-07,2025-08-09
TKT000007,CUS009745,INS000001,Payment Issue,High,Resolved,2026-03-14,2026-03-16
TKT000008,CUS007056,INS000004,Card Issue,Medium,Resolved,2024-09-15,2024-09-20
TKT000009,CUS005249,INS000004,Fraud Report,Medium,Resolved,2025-04-14,2025-04-15
TKT000010,CUS002975,INS000003,Technical Issue,Medium,Resolved,2026-07-04,2026-07-10
TKT000011,CUS007828,INS000004,Card Issue,Critical,Open,2026-03-01,
TKT000012,CUS007880,INS000002,Technical Issue,Low,Resolved,2026-05-01,2026-05-07
TKT000013,CUS001443,INS000002,Technical Issue,Medium,Resolved,2024-08-18,2024-08-19
TKT000014,CUS006905,INS000001,Transaction Issue,High,Resolved,2025-06-26,2025-07-03
TKT000015,CUS004179,INS000002,Account Issue,Low,Resolved,2024-10-12,2024-10-15
TKT000016,CUS004924,INS000004,Transaction Issue,Medium,Resolved,2025-01-27,2025-01-29
TKT000017,CUS007973,INS000003,Transaction Issue,Medium,Resolved,2024-09-02,2024-09-08
TKT000018,CUS008422,INS000002,Payment Issue,Medium,Closed,2025-11-27,2025-11-30
TKT000019,CUS000485,INS000001,Card Issue,High,In Progress,2025-11-22,
TKT000020,CUS006158,INS000004,Loan Query,High,Resolved,2025-07-17,2025-07-22
TKT000021,CUS005559,INS000005,Payment Issue,Low,Resolved,2025-09-27,2025-10-01
TKT000022,CUS006248,INS000004,Transaction Issue,High,Resolved,2025-09-11,2025-09-13
TKT000023,CUS002936,INS000004,Transaction Issue,High,Closed,2026-01-16,2026-01-18
TKT000024,CUS009937,INS000003,Card Issue,Low,Resolved,2026-06-19,2026-06-20
TKT000025,CUS000142,INS000005,Payment Issue,Low,Resolved,2025-10-30,2025-11-04
TKT000026,CUS003559,INS000001,Payment Issue,High,Resolved,2025-11-10,2025-11-12
TKT000027,CUS005500,INS000005,Payment Issue,Low,Resolved,2026-03-07,2026-03-10
TKT000028,CUS009313,INS000003,Transaction Issue,Medium,Resolved,2026-03-30,2026-04-04
TKT000029,CUS002810,INS000005,Account Issue,Low,Resolved,2025-09-19,2025-09-26
TKT000030,CUS008434,INS000005,Account Issue,Low,Open,2025-09-24,
TKT000031,CUS002578,INS000002,Transaction Issue,High,Closed,2026-07-09,2026-07-16
TKT000032,CUS001659,INS000001,Account Issue,Low,Open,2025-08-16,
TKT000033,CUS001101,INS000005,Technical Issue,Low,Closed,2024-10-16,2024-10-20
TKT000034,CUS005845,INS000003,Card Issue,Medium,Resolved,2026-03-23,2026-03-29
TKT000035,CUS001456,INS000005,Transaction Issue,Critical,Closed,2026-06-15,2026-06-22
TKT000036,CUS007397,INS000001,Payment Issue,Medium,Closed,2025-12-01,2025-12-07
TKT000037,CUS007499,INS000003,Card Issue,Low,Resolved,2026-04-14,2026-04-18
TKT000038,CUS001519,INS000004,Card Issue,High,Closed,2024-11-21,2024-11-27
TKT000039,CUS002124,INS000002,Technical Issue,Medium,Resolved,2024-09-16,2024-09-21
TKT000040,CUS001145,INS000005,Fraud Report,Medium,Closed,2026-01-19,2026-01-21
TKT000041,CUS002272,INS000003,Transaction Issue,Low,Resolved,2025-08-03,2025-08-07
TKT000042,CUS009473,INS000001,Transaction Issue,Medium,Closed,2024-10-05,2024-10-06
TKT000043,CUS008878,INS000004,Transaction Issue,Medium,Closed,2026-01-13,2026-01-15
TKT000044,CUS004120,INS000005,Loan Query,Low,Resolved,2024-12-09,2024-12-12
TKT000045,CUS009875,INS000001,Payment Issue,Medium,Resolved,2025-06-10,2025-06-16
TKT000046,CUS005263,INS000004,Payment Issue,Medium,Open,2025-09-01,
TKT000047,CUS008907,INS000004,Loan Query,Medium,Resolved,2025-02-10,2025-02-11
TKT000048,CUS009561,INS000002,Technical Issue,Medium,Resolved,2026-02-02,2026-02-09
TKT000049,CUS003366,INS000003,Card Issue,Medium,Closed,2025-11-06,2025-11-11
TKT000050,CUS005353,INS000002,Payment Issue,Medium,Closed,2026-02-07,2026-02-11
TKT000051,CUS009282,INS000003,Payment Issue,Low,Closed,2026-01-28,2026-02-02
TKT000052,CUS007235,INS000002,Payment Issue,Medium,Open,2024-08-12,
TKT000053,CUS006568,INS000005,Account Issue,Low,Closed,2025-03-31,2025-04-05
TKT000054,CUS007906,INS000004,Fraud Report,High,Open,2025-08-01,
TKT000055,CUS001682,INS000001,Technical Issue,Medium,Open,2024-11-04,
TKT000056,CUS005594,INS000003,Account Issue,Medium,Resolved,2025-09-26,2025-09-30
TKT000057,CUS006632,INS000005,Technical Issue,High,Open,2025-12-20,
TKT000058,CUS009408,INS000005,Account Issue,High,In Progress,2026-05-26,
TKT000059,CUS003384,INS000005,Loan Query,Low,Resolved,2024-09-13,2024-09-19
TKT000060,CUS009427,INS000004,Loan Query,High,Resolved,2024-12-03,2024-12-04
TKT000061,CUS005040,INS000001,Payment Issue,High,Closed,2026-04-09,2026-04-13
TKT000062,CUS002830,INS000005,Fraud Report,High,Resolved,2025-10-18,2025-10-24
TKT000063,CUS006878,INS000004,Account Issue,Medium,Resolved,2025-06-04,2025-06-09
TKT000064,CUS005968,INS000005,Loan Query,Low,Resolved,2025-04-04,2025-04-07
TKT000065,CUS003470,INS000003,Account Issue,Medium,Closed,2026-06-24,2026-06-28
TKT000066,CUS004164,INS000004,Payment Issue,Low,Resolved,2025-03-20,2025-03-26
TKT000067,CUS003304,INS000003,Card Issue,Low,Closed,2026-04-30,2026-05-02
TKT000068,CUS006279,INS000001,Transaction Issue,Low,Resolved,2025-04-03,2025-04-08
TKT000069,CUS004141,INS000001,Payment Issue,Low,Resolved,2026-05-31,2026-06-05
TKT000070,CUS001833,INS000002,Account Issue,Medium,Open,2025-12-14,
TKT000071,CUS000482,INS000004,Fraud Report,High,Closed,2024-09-29,2024-10-02
TKT000072,CUS007250,INS000005,Payment Issue,Medium,Resolved,2025-11-24,2025-11-28
TKT000073,CUS004222,INS000005,Card Issue,Low,Closed,2025-10-28,2025-10-31
